url,label,pred,confidence,reason
https://file-share-from-lindsey-folder-view.firebaseapp.com/,1,1,1.0,ml
https://www.mistakey.com,0,1,1.0,ml
https://inpost-pl.nidon.lol/sell/339bee190a2d,1,1,0.995,ml
https://www.sofatutor.com,0,1,1.0,ml
https://bellsouth-email-verification-admin-upgrades-site.yolasite.com/,1,1,1.0,ml
https://www.partagence.org,0,1,1.0,ml
https://rcfowler2.wixsite.com/my-site,1,1,0.995,ml
http://shein.gifts,1,1,0.995,ml
https://www.leedsfestival.com,0,1,1.0,ml
https://www.hellomonaco.com,0,1,1.0,ml
https://www.forschungen-engi.ch,0,1,0.995,ml
http://www.barotechf.ga,1,1,0.995,ml
https://www.evergreenparklibrary.org,0,1,1.0,ml
https://www.pteverywhere.com,0,1,1.0,ml
http://www.db1.samuelblog.site,1,1,0.995,ml
https://www.crypto-news-flash.com,0,1,0.995,ml
https://www.slamdunk.ru,0,1,0.995,ml
https://www.amv.es,0,1,1.0,ml
https://useysend.boxmode.io/,1,1,1.0,ml
https://www.xenith.com,0,1,1.0,ml
https://www.swissid.ch,0,1,0.995,ml
https://www.mrc-bsu.cam.ac.uk,0,1,0.995,ml
https://anwar69-79.000webhostapp.com/applogin.html,1,1,1.0,ml
https://www.emergingmarketsforum.org,0,1,1.0,ml
https://www.hss.de,0,1,1.0,ml
https://www.forevermissed.com,0,1,1.0,ml
http://www.bluecow.com,1,1,1.0,ml
https://www.antutu.com,0,1,0.9992,ml
https://www.shopnuzzie.com,0,1,1.0,ml
http://www.55677.com,1,1,1.0,ml
https://www.musicofyourlife.com,0,1,1.0,ml
http://tinyurl.com/verificapagamento,1,1,0.995,ml
https://www.ccit.edu.cn,0,1,0.995,ml
https://energeticunimportantcareware--galinet.repl.co/,1,1,0.995,ml
https://www.kbpedia.org,0,1,1.0,ml
https://yahoo-101495.weeblysite.com/,1,1,1.0,ml
https://www.philippinemasonry.org,0,1,1.0,ml
https://www.timbercraft.com,0,1,1.0,ml
https://www.apraxia-kids.org,0,1,1.0,ml
https://www.keisei.co.jp,0,1,0.995,ml
http://www.nuclearpolicy101.org,1,1,0.995,ml
https://46h-0gv3i95rhg-f9ewojf-3rhbgf-webgf-294fgw.obs.ap-southeast-3.myhuaweicloud.com/35h4-0gv-94hg-2fi9n-28g4bf-q9fjod-w9egf-08wg5hf-80e.html?awsaccesskeyid=mivcqwwdrwywpjrr88bi&amp;expires=1680635817&amp;signature=f1gv5pbo5uxa7rxzj4%2bmbtny4jg%3d#hws_security@huawei.com,1,1,1.0,ml
https://www.gallipoli-association.org,0,1,0.995,ml
https://reverfyboyint.github.io/milan,1,1,0.995,ml
https://johnrich.ml/hype/verifica/anomalia,1,1,0.995,ml
https://maildinshaakckjnw208.web.app/,1,1,1.0,ml
https://www.netgsm.com.tr,0,1,0.995,ml
https://www.myco.dica.gov.mm,0,1,0.995,ml
https://www.clearcenter.com,0,1,1.0,ml
https://boudaiwinnaxel.firebaseapp.com/,1,1,1.0,ml
https://www.upstox.com/open-demat-account/,0,1,0.995,ml
https://login-cgd.com/,1,1,1.0,ml
https://rewhg-mtt3.firebaseapp.com/,1,1,1.0,ml
https://document.storages-clouds.workers.dev/,1,1,0.995,ml
https://www.telediario.mx,0,1,0.995,ml
https://www.leeds-city-guide.com,0,1,0.995,ml
https://www.onlinesazkovekancelare.cz,0,1,0.995,ml
https://www.lovellabridal.com,0,1,1.0,ml
https://www.racp.edu.au,0,1,0.995,ml
https://www.ladyalthaea.com,0,1,1.0,ml
https://www.smokingpipes.com,0,1,1.0,ml
https://www.zagrebacka-zupanija.hr,0,1,0.995,ml
https://www.korrupt.biz,0,1,0.995,ml
http://www.myrefund-ato.myseoplus.com,1,1,0.995,ml
https://green-pine-7fe7.do020.workers.dev/,1,1,1.0,ml
https://hd31-md1.web.app/,1,1,1.0,ml
http://www.paynae.cf,1,1,0.995,ml
https://www.harvestrecords.com,0,1,1.0,ml
https://www.hipkitclub.net,0,1,1.0,ml
https://www.bpma.co.uk,0,1,0.995,ml
https://053232222.xyz/vmjddusx/third/7,1,1,1.0,ml
http://www.kovaceko.ga,1,1,0.995,ml
http://staging.airtable.com/login,1,1,0.995,ml
https://serviceuxl.pro/service/,1,1,0.995,ml
https://www.barnesstore.net,0,1,1.0,ml
https://www.disneyanimation.com,0,1,1.0,ml
https://www.gopetition.com,0,1,1.0,ml
http://www.pbhack.ru,1,1,0.995,ml
http://gebimnilegin.godaddysites.com/,1,1,1.0,ml
http://www.universalonline.com,1,1,1.0,ml
https://www.lirs.org,0,1,0.995,ml
https://www.flandersjuwelen.be,0,1,0.995,ml
http://www.slrj.softsolutionbox.net,1,1,0.995,ml
http://bulltransporte.com.ar/express.axp/amex/lgn.php,1,1,0.995,ml
https://www.foyer-vietnam.org,0,1,1.0,ml
https://www.norwichresearchpark.com,0,1,1.0,ml
https://www.dingir.cz,0,1,0.995,ml
https://www.dutchdesignawards.nl,0,1,0.995,ml
https://didieier.godaddysites.com/,1,1,1.0,ml
https://www.nettn.com,0,1,0.995,ml
http://www.smtps.blocktrail.com,1,1,0.995,ml
https://www.axisbank.com/retail/accounts/savings-account,0,0,0.01,whitelist
https://www.happicrafts.com,0,1,1.0,ml
http://www.avrworks.com,1,1,1.0,ml
http://www.petare.fr,1,1,0.995,ml
https://www.openmuc.org,0,1,1.0,ml
https://www.rileychs.com,0,1,1.0,ml
